season,seed,team
2015,W01,1437
2015,W02,1438
2015,W03,1328
2015,W04,1257
2015,W05,1320
2015,W06,1344
2015,W07,1277
2015,W08,1301
2015,W09,1261
2015,W10,1208
2015,W11a,1129
2015,W11b,1173
2015,W12,1461
2015,W13,1414
2015,W14,1107
2015,W15,1125
2015,W16,1248
2015,X01,1181
2015,X02,1211
2015,X03,1235
2015,X04,1207
2015,X05,1428
2015,X06,1374
2015,X07,1234
2015,X08,1361
2015,X09,1385
2015,X10,1172
2015,X11,1417
2015,X12,1372
2015,X13,1186
2015,X14,1412
2015,X15,1295
2015,X16a,1316
2015,X16b,1352
2015,Y01,1246
2015,Y02,1242
2015,Y03,1323
2015,Y04,1268
2015,Y05,1452
2015,Y06,1139
2015,Y07,1455
2015,Y08,1153
2015,Y09,1345
2015,Y10,1231
2015,Y11,1400
2015,Y12,1138
2015,Y13,1434
2015,Y14,1318
2015,Y15,1308
2015,Y16a,1214
2015,Y16b,1264
2015,Z01,1458
2015,Z02,1112
2015,Z03,1124
2015,Z04,1314
2015,Z05,1116
2015,Z06,1462
2015,Z07,1433
2015,Z08,1332
2015,Z09,1329
2015,Z10,1326
2015,Z11a,1140
2015,Z11b,1279
2015,Z12,1459
2015,Z13,1217
2015,Z14,1209
2015,Z15,1411
2015,Z16,1157
